Date,Long:NEW ZEALAND DOLLAR,Short:NEW ZEALAND DOLLAR,Net:NEW ZEALAND DOLLAR
2011-01-04,21162,10431,10731
2011-01-11,20943,11323,9620
2011-01-18,21224,9977,11247
2011-01-25,18507,9880,8627
2011-02-01,20041,9771,10270
2011-02-08,20804,9947,10857
2011-02-15,18018,8208,9810
2011-02-22,15975,7874,8101
2011-03-01,15326,7915,7411
2011-03-08,13467,9121,4346
2011-03-15,7277,10086,-2809
2011-03-22,6005,7487,-1482
2011-03-29,6598,6359,239
2011-04-05,10129,7434,2695
2011-04-12,14233,7897,6336
2011-04-19,17722,8383,9339
2011-04-26,19205,7748,11457
2011-05-03,22522,9722,12800
2011-05-10,22828,9114,13714
2011-05-17,22518,9894,12624
2011-05-24,23234,9358,13876
2011-05-31,23579,7855,15724
2011-06-07,23573,7569,16004
2011-06-14,23520,4302,19218
2011-06-21,22942,4093,18849
2011-06-28,22242,3878,18364
2011-07-05,22648,3662,18986
2011-07-12,22687,3103,19584
2011-07-19,23364,1926,21438
2011-07-26,25241,1950,23291
2011-08-02,25808,1682,24126
2011-08-09,21588,1161,20427
2011-08-16,19214,797,18417
2011-08-23,17980,1104,16876
2011-08-30,17953,1388,16565
2011-09-06,19215,1545,17670
2011-09-13,19303,1639,17664
2011-09-20,16511,2946,13565
2011-09-27,14475,4884,9591
2011-10-04,12929,7363,5566
2011-10-11,12075,5237,6838
2011-10-18,12445,4220,8225
2011-10-25,13298,4079,9219
2011-11-01,13394,2739,10655
2011-11-08,14585,3035,11550
2011-11-15,14255,3641,10614
2011-11-22,12639,4723,7916
2011-11-29,11018,7300,3718
2011-12-06,10745,6888,3857
2011-12-13,11148,5765,5383
2011-12-20,5735,5123,612
2011-12-27,6571,5166,1405
2012-01-03,7857,5421,2436
2012-01-10,10658,5629,5029
2012-01-17,16195,6740,9455
2012-01-24,20232,7300,12932
2012-01-31,25330,10533,14797
2012-02-07,28201,4866,23335
2012-02-14,29202,5332,23870
2012-02-21,29422,5211,24211
2012-02-28,27006,4892,22114
2012-03-06,23506,6718,16788
2012-03-13,19223,6000,13223
2012-03-20,14686,10476,4210
2012-03-27,14046,10062,3984
2012-04-03,14477,8631,5846
2012-04-10,15433,8263,7170
2012-04-17,16999,5060,11939
2012-04-24,13984,4498,9486
2012-05-01,12155,4130,8025
2012-05-08,11688,5464,6224
2012-05-15,9124,6527,2597
2012-05-22,8418,9927,-1509
2012-05-29,5798,11006,-5208
2012-06-05,6575,12105,-5530
2012-06-12,6640,10525,-3885
2012-06-19,3564,5777,-2213
2012-06-26,6108,5532,576
2012-07-03,9862,5542,4320
2012-07-10,11434,5843,5591
2012-07-17,10986,4047,6939
2012-07-24,11703,3924,7779
2012-07-31,13659,3312,10347
2012-08-07,17808,3220,14588
2012-08-14,18273,3026,15247
2012-08-21,19835,3463,16372
2012-08-28,18215,3986,14229
2012-09-04,14815,3414,11401
2012-09-11,13641,3609,10032
2012-09-18,20402,3797,16605
2012-09-25,23389,3424,19965
2012-10-02,25298,3917,21381
2012-10-09,21075,4365,16710
2012-10-16,20646,4362,16284
2012-10-23,20528,4179,16349
2012-10-30,20849,4104,16745
2012-11-06,24440,5052,19388
2012-11-13,23692,4498,19194
2012-11-20,21436,3578,17858
2012-11-27,21653,2943,18710
2012-12-04,23272,2184,21088
2012-12-11,29560,4960,24600
2012-12-18,31830,17600,14230
2012-12-24,27425,12686,14739
2012-12-31,25832,8750,17082
2013-01-08,26635,7415,19220
2013-01-15,29920,7658,22262
2013-01-22,28815,5283,23532
2013-01-29,26830,5014,21816
2013-02-05,26343,3643,22700
2013-02-12,24898,3560,21338
2013-02-19,28153,3460,24693
2013-02-26,23570,3273,20297
2013-03-05,23812,4768,19044
2013-03-12,24250,4900,19350
2013-03-19,23384,10907,12477
2013-03-26,27946,11030,16916
2013-04-02,31358,12971,18387
2013-04-09,35358,10208,25150
2013-04-16,39986,9178,30808
2013-04-23,38027,10322,27705
2013-04-30,38184,9134,29050
2013-05-07,37775,9239,28536
2013-05-14,30436,7220,23216
2013-05-21,23978,6196,17782
2013-05-28,19666,5655,14011
2013-06-04,11700,5687,6013
2013-06-11,8940,6287,2653
2013-06-18,8469,6343,2126
2013-06-25,5377,6088,-711
2013-07-02,5288,6462,-1174
2013-07-09,5390,6398,-1008
2013-07-16,4224,6968,-2744
2013-07-23,4517,6363,-1846
2013-07-30,5593,6113,-520
2013-08-06,4595,6134,-1539
2013-08-13,6632,6435,197
2013-08-20,9760,7370,2390
2013-08-27,7463,7211,252
2013-09-03,6384,7181,-797
2013-09-10,8068,8669,-601
2013-09-17,12463,6806,5657
2013-09-24,15470,7415,8055
2013-10-01,17706,6815,10891
2013-10-08,18343,7577,10766
2013-10-15,19379,6711,12668
2013-10-22,21349,8235,13114
2013-10-29,17705,7080,10625
2013-11-05,16937,7229,9708
2013-11-12,16814,6448,10366
2013-11-19,18940,6464,12476
2013-11-26,16064,5815,10249
2013-12-03,13660,6021,7639
2013-12-10,13183,4630,8553
2013-12-17,12842,7169,5673
2013-12-24,13899,7443,6456
2013-12-31,14198,7491,6707
2014-01-07,14803,6937,7866
2014-01-14,17539,7925,9614
2014-01-21,17330,8774,8556
2014-01-28,16606,6921,9685
2014-02-04,14588,6556,8032
2014-02-11,13176,5535,7641
2014-02-18,15331,6425,8906
2014-02-25,16529,5547,10982
2014-03-04,19346,5914,13432
2014-03-11,21155,6706,14449
2014-03-18,24645,8894,15751
2014-03-25,26243,8030,18213
2014-04-01,25765,7285,18480
2014-04-08,26521,6755,19766
2014-04-15,26671,6824,19847
2014-04-22,26056,5881,20175
2014-04-29,22979,4499,18480
2014-05-06,25027,4334,20693
2014-05-13,23806,4466,19340
2014-05-20,22486,4892,17594
2014-05-27,22034,4090,17944
2014-06-03,22400,4869,17531
2014-06-10,20401,3546,16855
2014-06-17,21671,17938,3733
2014-06-24,24855,18703,6152
2014-07-01,26563,17578,8985
2014-07-08,26750,12334,14416
2014-07-15,26570,11117,15453
2014-07-22,26028,10896,15132
2014-07-29,23552,8263,15289
2014-08-05,18949,4449,14500
2014-08-12,17913,4484,13429
2014-08-19,16796,4764,12032
2014-08-26,16405,4564,11841
2014-09-02,15623,5451,10172
2014-09-09,14369,4847,9522
2014-09-16,9814,8694,1120
2014-09-23,9779,7938,1841
2014-09-30,10092,10028,64
2014-10-07,10052,10152,-100
2014-10-14,9171,11555,-2384
2014-10-21,8526,10858,-2332
2014-10-28,8506,12404,-3898
2014-11-04,9737,13846,-4109
2014-11-11,9244,10233,-989
2014-11-18,9134,10381,-1247
2014-11-25,9630,11924,-2294
2014-12-02,9272,10952,-1680
2014-12-09,9786,12081,-2295
2014-12-16,9865,10504,-639
2014-12-23,9786,11194,-1408
2014-12-30,8236,10082,-1846
2015-01-06,9865,10772,-907
2015-01-13,8396,10172,-1776
2015-01-20,10941,12758,-1817
2015-01-27,11908,15567,-3659
2015-02-03,10537,15034,-4497
2015-02-10,9272,15472,-6200
2015-02-17,10021,15774,-5753
2015-02-24,11107,15437,-4330
2015-03-03,14597,15964,-1367
2015-03-10,13347,15827,-2480
2015-03-17,13117,14258,-1141
2015-03-24,12149,13015,-866
2015-03-31,16443,12412,4031
2015-04-07,16950,11172,5778
2015-04-14,17081,11078,6003
2015-04-21,18473,9985,8488
2015-04-28,18281,8101,10180
2015-05-05,19585,10521,9064
2015-05-12,14268,12498,1770
2015-05-19,11192,13423,-2231
2015-05-26,10426,15513,-5087
2015-06-02,9432,19971,-10539
2015-06-09,11097,22892,-11795
2015-06-16,19382,28550,-9168
2015-06-23,19661,33224,-13563
2015-06-30,16949,33015,-16066
2015-07-07,14679,33027,-18348
2015-07-14,13504,33158,-19654
2015-07-21,13200,29154,-15954
2015-07-28,13550,26315,-12765
2015-08-04,14391,26290,-11899
2015-08-11,13931,24503,-10572
2015-08-18,14012,23969,-9957
2015-08-25,15388,21451,-6063
2015-09-01,13543,21822,-8279
2015-09-08,11677,23497,-11820
2015-09-15,22462,24556,-2094
2015-09-22,22990,26519,-3529
2015-09-29,20995,24057,-3062
2015-10-06,18357,19328,-971
2015-10-13,18344,17652,692
2015-10-20,19447,15688,3759
2015-10-27,20339,14750,5589
2015-11-03,21266,14648,6618
2015-11-10,21267,15703,5564
2015-11-17,22219,16971,5248
2015-11-24,22603,18593,4010
2015-12-01,22881,18124,4757
2015-12-08,24452,15571,8881
2015-12-15,16346,15227,1119
2015-12-22,14946,15167,-221
